,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
1064191,1064191,2021-01-30 16:53:57.960436+00:00,x,y,2021-02-09 13:30:00+00:00,2021-02-09 15:40:00+00:00,alpha,True,20.0,1,a-5,1064191,9799.0
19855148,19855148,2021-08-18 17:22:11.028467+00:00,x,y,2021-08-29 17:00:00+00:00,2021-08-29 18:59:00+00:00,gamma,True,20.0,2,c-6,19855148,9525.0
8937096,8937096,2021-06-06 20:41:23.662668+00:00,x,y,2021-06-23 14:00:00+00:00,2021-06-23 15:55:00+00:00,beta,True,20.0,0,b-9,8937096,10057.0
250601,250601,2021-01-07 16:55:44.544858+00:00,x,y,2021-03-08 17:00:00+00:00,2021-03-08 18:59:00+00:00,gamma,True,0.0,0,c-6,250601,8155.0
15668649,15668649,2021-07-24 04:17:31.065193+00:00,x,y,2021-07-24 10:00:00+00:00,2021-07-24 12:00:00+00:00,gamma,True,20.0,2,c-2,15668649,21120.0
3033383,3033383,2021-03-11 09:17:07.997487+00:00,x,y,2021-03-29 15:30:00+00:00,2021-03-29 17:30:00+00:00,alpha,True,15.0,1,a-7,3033383,9798.0
11411064,11411064,2021-06-26 21:16:51.071589+00:00,x,y,2021-07-05 05:00:00+00:00,2021-07-05 06:55:00+00:00,beta,True,20.0,0,b-1,11411064,6731.0
20849139,20849139,2021-08-24 22:47:50.959886+00:00,x,y,2021-09-28 04:00:00+00:00,2021-09-28 06:00:00+00:00,alpha,True,15.0,1,a-1,20849139,6810.0
1552225,1552225,2021-02-11 18:29:20.587294+00:00,x,y,2021-04-03 05:00:00+00:00,2021-04-03 06:55:00+00:00,beta,True,35.0,0,b-1,1552225,9522.0
6552548,6552548,2021-05-10 11:23:06.101601+00:00,x,y,2021-05-28 05:00:00+00:00,2021-05-28 07:00:00+00:00,gamma,True,20.0,1,c-2,6552548,7390.0
18824172,18824172,2021-08-13 07:44:27.887565+00:00,x,y,2021-08-13 17:45:00+00:00,2021-08-13 19:45:00+00:00,alpha,True,15.0,1,a-23,18824172,12945.0
17955834,17955834,2021-08-09 13:12:31.770399+00:00,x,y,2021-08-26 14:00:00+00:00,2021-08-26 16:00:00+00:00,gamma,True,20.0,1,c-4,17955834,8525.0
